,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Paquetá,-22.76423161784222,-43.111232657587436,Parque Darke de Mattos,-22.767168191728302,-43.11135059508332,Park
1,Paquetá,-22.76423161784222,-43.111232657587436,Hotel Lido,-22.76204156593265,-43.11020501063723,Boarding House
2,Paquetá,-22.76423161784222,-43.111232657587436,Praia dos Tamoios,-22.76135093361806,-43.10783176634373,Beach
3,Paquetá,-22.76423161784222,-43.111232657587436,Praia da Moreninha,-22.764291689058883,-43.107618639645274,Beach
4,Paquetá,-22.76423161784222,-43.111232657587436,Praia José Bonifácio,-22.763198336517558,-43.109967719862034,Beach
5,Paquetá,-22.76423161784222,-43.111232657587436,Quintal da Regina,-22.76082021498478,-43.10828818686261,Bar
6,Paquetá,-22.76423161784222,-43.111232657587436,Tia Leleta Bar,-22.76076496942767,-43.10833379457224,Brazilian Restaurant
7,Paquetá,-22.76423161784222,-43.111232657587436,Cantina da ilha,-22.762296435403176,-43.10795490580451,Diner
8,Paquetá,-22.76423161784222,-43.111232657587436,Zeca's Restaurante,-22.761253044463015,-43.107707521439806,Brazilian Restaurant
9,Paquetá,-22.76423161784222,-43.111232657587436,Pedalinho Ilha Paqueta,-22.76212727255294,-43.11012400560128,Harbor / Marina
10,Paquetá,-22.76423161784222,-43.111232657587436,Praia da Guarda,-22.76216553843547,-43.10997245580062,Beach
11,Paquetá,-22.76423161784222,-43.111232657587436,Hotel Meu Cantinho  Ilha de Paquetá,-22.761623121801925,-43.10983984935242,Hotel
12,Paquetá,-22.76423161784222,-43.111232657587436,Padaria e Mercado Carecas e Frescos,-22.763016498913277,-43.107604431166784,Food & Drink Shop
13,Paquetá,-22.76423161784222,-43.111232657587436,Carecas e Frescos,-22.762136,-43.107698,Market
14,Paquetá,-22.76423161784222,-43.111232657587436,Praça Pedro Bruno,-22.76222513916649,-43.10742919293701,Park
15,Paquetá,-22.76423161784222,-43.111232657587436,CCR Barcas - Estação Paquetá,-22.762224118364486,-43.107339205501944,Pier
16,Freguesia (Ilha),-22.784674265512365,-43.16873210348013,Cia de Dança Daniela Monerat,-22.783459728553506,-43.16674338487056,Dance Studio
17,Bancários,-22.79245050038046,-43.180994104672784,Quiosque do Penetra,-22.79369078112314,-43.180752285185086,Snack Place
18,Bancários,-22.79245050038046,-43.180994104672784,Pastel Mania,-22.79545620653807,-43.18252253840228,Pastelaria
19,Bancários,-22.79245050038046,-43.180994104672784,Caju Lanches,-22.792969735400312,-43.184536819500686,Food Truck
20,Bancários,-22.79245050038046,-43.180994104672784,Restaurante do Gaucho,-22.79163825971645,-43.18129656004492,Food
21,Bancários,-22.79245050038046,-43.180994104672784,Subway,-22.795613732378175,-43.18337661147338,Sandwich Place
22,Bancários,-22.79245050038046,-43.180994104672784,Bar Água Viva,-22.795045858832747,-43.180115061448284,Burger Joint
23,Bancários,-22.79245050038046,-43.180994104672784,Kilo Frut,-22.79561298779537,-43.18338214329362,Snack Place
24,Bancários,-22.79245050038046,-43.180994104672784,Rei do Bolinho de Bacalhau,-22.795611412660136,-43.18337770328501,Seafood Restaurant
25,Bancários,-22.79245050038046,-43.180994104672784,Drogarias Pacheco,-22.79561059541508,-43.183381538926206,Drugstore
26,Bancários,-22.79245050038046,-43.180994104672784,Panificação Tauá,-22.79561002929422,-43.18337794935868,Bakery
27,Bancários,-22.79245050038046,-43.180994104672784,Experimenta Lanches,-22.79589292213354,-43.1800961440024,Burger Joint
28,Bancários,-22.79245050038046,-43.180994104672784,Praça dos Bancários,-22.791073163398902,-43.180923775616186,Plaza
29,Bancários,-22.79245050038046,-43.180994104672784,Panificação Oceano,-22.795325169259222,-43.177408848559026,Bakery
30,Bancários,-22.79245050038046,-43.180994104672784,Supermercados Mundial,-22.795606338882852,-43.18338817842611,Supermarket
31,Bancários,-22.79245050038046,-43.180994104672784,New Corpore Academias,-22.790093372020287,-43.17987498950342,Gym / Fitness Center
32,Bancários,-22.79245050038046,-43.180994104672784,Valão Grill,-22.7896745502949,-43.18205203861,Comfort Food Restaurant
33,Bancários,-22.79245050038046,-43.180994104672784,Saborano Pizza,-22.789690358391834,-43.17967522899381,Pizza Place
34,Bancários,-22.79245050038046,-43.180994104672784,Vicente,-22.79519316786281,-43.18245131139686,Fast Food Restaurant
35,Bancários,-22.79245050038046,-43.180994104672784,Quintal da Mazinha,-22.78961837448174,-43.17951442907331,Soup Place
36,Bancários,-22.79245050038046,-43.180994104672784,Praça Manoel Madruga,-22.79313473346213,-43.184432574209275,Plaza
37,Bancários,-22.79245050038046,-43.180994104672784,Legionários,-22.789376486821883,-43.178719880755494,Burger Joint
38,Bancários,-22.79245050038046,-43.180994104672784,botequim carioca,-22.795613602730697,-43.1833772820505,Restaurant
39,Bancários,-22.79245050038046,-43.180994104672784,Espeto na Brasa,-22.788845369548778,-43.17849759416127,BBQ Joint
40,Galeão,-22.80781077420843,-43.236395107003005,Ansef,-22.807352955363637,-43.23824315169418,Other Great Outdoors
41,Galeão,-22.80781077420843,-43.236395107003005,Cases Cell,-22.810073,-43.236398,Mobile Phone Shop
42,Galeão,-22.80781077420843,-43.236395107003005,Fruit,-22.811472472809275,-43.23774576187134,American Restaurant
43,Galeão,-22.80781077420843,-43.236395107003005,Píer do Galeão,-22.811602024357843,-43.23423403431228,Pier
44,Portuguesa,-22.799774720082098,-43.20721561994059,Estádio Luso-Brasileiro (Ilha do Urubu),-22.801912862775104,-43.20846905136539,Soccer Stadium
45,Portuguesa,-22.799774720082098,-43.20721561994059,Coxinha Lanches,-22.79965181980308,-43.21078507962129,Burger Joint
46,Portuguesa,-22.799774720082098,-43.20721561994059,Village Griffe do Pão,-22.800055259261416,-43.20275376640997,Bakery
47,Portuguesa,-22.799774720082098,-43.20721561994059,Associação Atlética da Portuguesa,-22.802028106794864,-43.208757379071116,Sports Club
48,Portuguesa,-22.799774720082098,-43.20721561994059,Sabor Malagueta,-22.795942529050386,-43.20911187808324,Brazilian Restaurant
49,Portuguesa,-22.799774720082098,-43.20721561994059,Lojas Americanas,-22.803597551940594,-43.205089349292464,Department Store
50,Portuguesa,-22.799774720082098,-43.20721561994059,Praça da Santa - Condominio Santos Dumont,-22.799800112450733,-43.206100920297715,Plaza
51,Portuguesa,-22.799774720082098,-43.20721561994059,Brazuka Grill,-22.79935481997485,-43.20275960986401,Bar
52,Portuguesa,-22.799774720082098,-43.20721561994059,Scooby Rações,-22.79600490478757,-43.209077475297946,Pet Service
53,Barros Filho,-22.834961004774282,-43.36416672058039,Praça De Honório Gurgel,-22.83889255094688,-43.362403291721165,Plaza
54,Barros Filho,-22.834961004774282,-43.36416672058039,Lan house Eficácia Informática,-22.833377760789354,-43.366106938855204,Arcade
55,Barros Filho,-22.834961004774282,-43.36416672058039,Pet Shop 4 de Março,-22.837835012268613,-43.361573938652135,Pet Store
56,Barros Filho,-22.834961004774282,-43.36416672058039,Bartista,-22.83912432167671,-43.36287450891356,Brewery
