,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
5,Paquetá,-22.764231617842217,-43.111232657587436,Quintal da Regina,-22.76082021498478,-43.10828818686261,Bar
6,Paquetá,-22.764231617842217,-43.111232657587436,Tia Leleta Bar,-22.760764969427672,-43.10833379457224,Brazilian Restaurant
8,Paquetá,-22.764231617842217,-43.111232657587436,Zeca's Restaurante,-22.76125304446301,-43.107707521439806,Brazilian Restaurant
22,Bancários,-22.792450500380458,-43.180994104672784,Bar Água Viva,-22.79504585883275,-43.18011506144829,Burger Joint
24,Bancários,-22.792450500380458,-43.180994104672784,Rei do Bolinho de Bacalhau,-22.795611412660136,-43.18337770328501,Seafood Restaurant
26,Bancários,-22.792450500380458,-43.180994104672784,Panificação Tauá,-22.79561002929422,-43.183377949358686,Bakery
27,Bancários,-22.792450500380458,-43.180994104672784,Experimenta Lanches,-22.79589292213354,-43.1800961440024,Burger Joint
29,Bancários,-22.792450500380458,-43.180994104672784,Panificação Oceano,-22.79532516925923,-43.177408848559026,Bakery
32,Bancários,-22.792450500380458,-43.180994104672784,Valão Grill,-22.7896745502949,-43.18205203861,Comfort Food Restaurant
33,Bancários,-22.792450500380458,-43.180994104672784,Saborano Pizza,-22.789690358391837,-43.179675228993815,Pizza Place
34,Bancários,-22.792450500380458,-43.180994104672784,Vicente,-22.795193167862806,-43.182451311396854,Fast Food Restaurant
37,Bancários,-22.792450500380458,-43.180994104672784,Legionários,-22.789376486821887,-43.178719880755494,Burger Joint
38,Bancários,-22.792450500380458,-43.180994104672784,botequim carioca,-22.795613602730693,-43.18337728205051,Restaurant
42,Galeão,-22.80781077420843,-43.23639510700301,Fruit,-22.81147247280927,-43.237745761871345,American Restaurant
45,Portuguesa,-22.79977472008209,-43.2072156199406,Coxinha Lanches,-22.799651819803074,-43.21078507962129,Burger Joint
46,Portuguesa,-22.79977472008209,-43.2072156199406,Village Griffe do Pão,-22.800055259261413,-43.20275376640997,Bakery
48,Portuguesa,-22.79977472008209,-43.2072156199406,Sabor Malagueta,-22.79594252905039,-43.20911187808324,Brazilian Restaurant
51,Portuguesa,-22.79977472008209,-43.2072156199406,Brazuka Grill,-22.79935481997485,-43.202759609864,Bar
57,Tauá,-22.797700113397866,-43.1866464442446,Panificação & Confeitaria Vale de Cambra,-22.79902683022264,-43.186970819375,Bakery
62,Tauá,-22.797700113397866,-43.1866464442446,Rei do Bolinho de Bacalhau,-22.795611412660136,-43.18337770328501,Seafood Restaurant
64,Tauá,-22.797700113397866,-43.1866464442446,Panificação Tauá,-22.79561002929422,-43.183377949358686,Bakery
68,Tauá,-22.797700113397866,-43.1866464442446,Rey Da Linguiça No Pão,-22.798905107506105,-43.186470921030825,Brazilian Restaurant
77,Flamengo,-22.934710781954674,-43.17418204972766,Boteco Belmonte,-22.935104478108386,-43.17425527850102,Dive Bar
