iter	RMSE
0	0.9030996248
1	0.8705287372
2	0.8416616527
3	0.8161167356
4	0.7939821652
5	0.7737938496
6	0.755619374
7	0.7398535408
8	0.7256255076
9	0.7134457217
110	0.704848429
11	0.6924942036
12	0.6834603295113	0.6752271212114	0.6674685837115	0.6608218756116	0.654597009417	0.6516063691118	0.6464356781119	0.6418865523220	0.6373827311221	0.6331779627222	0.6297046362223	0.6261204328224	0.622955717625	0.617758907
26	0.615431657
27	0.6129186452
28	28	0.6123712029	29	0.6097574530	0.6057287473
31	0.6036229947
32	0.6016656781
33	0.5998541869
3434	0.6004789533535	0.59879849036	0.5949466597
37	0.5931672472
38	0.5918455885
39	0.590223705
40	0.5889707838
41	0.5876870024
42	0.586614743
43	0.5855509012
44	0.5844214071
445	0.5855325668446	0.584455475
47	0.5835137734
48	0.5825943224
49	0.5816758291
50	0.5807241503
51	0.5800931151
52	0.5793691661
53	0.5786503592
54	0.5779367528
55	0.5732241104556	0.5721194174557	0.5713053925858	0.570528059	059	0.5700379891
60	0.5690855487
61	0.5683237919
62	0.5676786278
63	0.5668399826
64	0.5662078279
65	0.5656214402
66	0.5650432875
67	0.5643953026
68	0.5638626326
69	0.5631770412
70	0.5624114706
71	0.5616720177
72	0.5611062613
73	0.5605682947
74	0.5600814966
75	0.5595229122
76	0.559066835
77	0.558756977
78	0.5582761435
79	0.5577515139
80	0.5571092229
81	0.5565519286
82	0.5561566214
83	0.5553997604
84	0.5548267794
85	0.5544908029
86	0.5539722126
87	0.5534249684
88	0.5529736992
89	0.5525154229
90	0.5521544035
91	0.5517132425
92	0.5512425837
93	0.5506825893
94	0.5503048847
95	0.5499242536
96	0.5493679114
97	0.5490454604
98	0.5485543204
99	0.5480340044
100	0.5476259066
101	0.5472328806
102	0.5468937139
103	0.5464374522
104	0.5460626902
105	0.5458164815
106	0.5452434053
107	0.5448153827
108	0.5443339801
109	0.5439808215
110	0.5436121501
111	0.5433256045
112	0.542956528
113	0.542610265
114	0.5423611199
115	0.541974286
116	0.5415550344
117	0.5411372181
118	0.5408552072
119	0.5403261072
120	0.5398950445
121	0.5396206751
122	0.5393178992
123	0.53904484
124	0.5386413122
125	0.5382619217
126	0.5377780721
127	0.5373707499
128	0.5369923863
129	0.5366706189
130	0.5364360518
131	0.5359628274
132	0.5357016791
133	0.5352880722
134	0.5349605807
135	0.5347682565
136	0.5340722443
137	0.5335933823
138	0.5332898248
139	0.532999673
140	0.5327697459
141	0.532520714
142	0.5320796732
143	0.5316608252
144	0.5312997979
145	0.5310296512
146	0.5306183029
147	0.530316573
148	0.5300966296
149	0.5299620787
150	0.5294846809
151	0.5291604883
152	0.5289895068
153	0.5287468312
154	0.5285052662
155	0.5281268595
156	0.5279236989
157	0.5276048623
158	0.5274092946
159	0.5270919287
160	0.5267490464
161	0.5265482463
162	0.5263107195
163	0.5258906301
164	0.5256543541
165	0.5253933175
166	0.525072768
167	0.5248726012
168	0.5246575828
169	0.5243922868
170	0.5241851068
171	0.5238354966
172	0.5235132196
173	0.5232580023
174	0.5230167706
175	0.5228595805
176	0.5225953831
177	0.5222639788
178	0.5219637092
179	0.5217400617
180	0.5215629249
181	0.5214545542
182	0.5211621671
183	0.5208927954
184	0.5206850607
185	0.5203103784
186	0.5200433856
187	0.5198012239
188	0.519533698
189	0.5192558347
190	0.5190994708
191	0.518990623
192	0.5186643976
193	0.5184020888
194	0.5181247946
195	0.5177548496
196	0.5175734024
197	0.5173341363
198	0.5170574979
199	0.5168283711
200	0.5165796114
201	0.5165094647
202	0.5163507664
203	0.516099479
204	0.5159546832
205	0.5157156962
206	0.5155306891
207	0.5152758508
208	0.5148260387
209	0.514595375
210	0.5143249587
211	0.5141264575
212	0.5139939111
213	0.5138492975
214	0.5136517829
215	0.5134732154
216	0.5131769233
217	0.5129612326
218	0.5126380793
219	0.5124065767
220	0.5122385778
221	0.5121187013
222	0.511894527
223	0.5117757733
224	0.5114841974
225	0.5113039515
226	0.5111235094
227	0.5109325348
228	0.5106944207
229	0.5103707865
230	0.51028742
231	0.5101521658
232	0.5098814904
233	0.5095903694
234	0.5093308185
235	0.5090926462
236	0.5089128514
237	0.5087393239
238	0.5085828495
239	0.5083323326
240	0.5080703213
241	0.5078474002
242	0.5076244731
243	0.507536185
244	0.507432811
245	0.5071512313
246	0.5069456141
247	0.5067447982
248	0.5065099794
249	0.5061676715
250	0.5058864755
251	0.5057535012
252	0.5055084408
253	0.5052770921
254	0.5050261972
255	0.5048396761
256	0.5046325097
257	0.5043679344
258	0.5041638387
259	0.5039186606
260	0.5037157011
261	0.5035378601
262	0.5033905029
263	0.5032592696
264	0.5030922946
265	0.5030478383
266	0.502870796
267	0.502672018
268	0.5025435445
269	0.5025119004
270	0.5023677166
271	0.5021911635
272	0.5020088781
273	0.5018015759
274	0.501609417
275	0.5013548237
276	0.5011589218
277	0.5010333528
278	0.5006941467
279	0.5005523725
280	0.5002941297
281	0.500137125
282	0.4999686506
283	0.499809453
284	0.4995279725
285	0.4993741714
286	0.4992778379
287	0.4991000003
288	0.4988138482
289	0.4986523759
290	0.4984868007
291	0.4983017916
292	0.4981969183
293	0.4980351134
294	0.4977098468
295	0.4976147286
296	0.4974899191
297	0.4972786787
298	0.497114471
299	0.4969042558
300	0.4967494828
301	0.4967027525
302	0.4965134163
303	0.4963291953
304	0.4960932798
305	0.4958855656
306	0.4957742879
307	0.4955867336
308	0.4954143451
309	0.4951727892
310	0.4949928735
311	0.4948572206
312	0.4947438921
313	0.4945607515
314	0.4943030673
315	0.4941138366
316	0.4940877874
317	0.4939418225
318	0.4938398586
319	0.493734928
320	0.4935348584
321	0.4932890846
322	0.4931047051
323	0.4929338038
324	0.4927809676
325	0.4926137695
326	0.49249104
327	0.4922620054
328	0.4921448823
329	0.4919221448
330	0.4917999529
331	0.4916059696
332	0.4913925075
333	0.4912786003
334	0.4911458676
335	0.4910059048
336	0.490895366
337	0.4906965229
338	0.4905632172
339	0.4903966905
340	0.4901797178
341	0.4900554162
342	0.4899949132
343	0.4897604366
344	0.489649208
345	0.4895018465
346	0.4893182506
347	0.4891715102
348	0.4890466793
349	0.4890169473
350	0.4887613794
351	0.4885829703
352	0.4884576401
353	0.4883769658
354	0.4881121166
355	0.4879461772
356	0.487761073
357	0.4875610636
358	0.4873509947
359	0.4871195927
360	0.4870438788
361	0.4868356694
362	0.4867846853
363	0.4867598502
364	0.4865354868
365	0.4864298627
366	0.4862073333
367	0.4861235337
368	0.4859467128
369	0.4857573745
370	0.4856734533
371	0.4855846058
372	0.4854564076
373	0.4853133127
374	0.4851107202
375	0.4849941895
376	0.4847936597
377	0.484659398
378	0.4845411597
379	0.4843464563
380	0.4841782551
381	0.4840011838
382	0.4838957804
383	0.4837736308
384	0.4837118845
385	0.4835738182
386	0.4834196696
387	0.4833733187
388	0.4833409416
389	0.4832400714
390	0.4830454966
391	0.482842103
392	0.4827075929
393	0.4825392631
394	0.4823416819
395	0.4821375936
396	0.4820626951
397	0.4820023431
398	0.4818592638
399	0.4817156298
400	0.4814658956
401	0.4813919706
402	0.4812878912
403	0.4811483139
404	0.4809576047
405	0.480826077
406	0.4806763131
407	0.4806388873
408	0.4805021587
409	0.4803532082
410	0.4803328541
411	0.4801712977
412	0.4800238566
413	0.4799473211
414	0.479819463
415	0.4797276333
416	0.4796225194
417	0.4794531026
418	0.4793619333
419	0.4793055421
420	0.4791729378
421	0.4789901815
422	0.4789257517
423	0.4788071271
424	0.4786848791
425	0.4785351422
426	0.4785054818
427	0.4783609387
428	0.4781439994
429	0.4779923793
430	0.4777664584
431	0.4776390676
432	0.4775097809
433	0.4773371567
434	0.4772743507
435	0.4771476373
436	0.4770386535
437	0.4768627359
438	0.4766390243
439	0.4765307478
440	0.4763050806
441	0.4761775791
442	0.4760538326
443	0.4759662528
444	0.4758812901
445	0.4757205023
446	0.4755988721
447	0.4754450007
448	0.4754287636
449	0.4753735327
450	0.4752704152
451	0.4750301088
452	0.4748163047
453	0.4747212633
454	0.4745938781
455	0.474489671
456	0.4743588038
457	0.4742326396
458	0.4741003771
459	0.4739283176
460	0.4737939236
461	0.4736390019
462	0.4734936571
463	0.4733134119
464	0.4732035922
465	0.4729909565
466	0.4728757955
467	0.472799544
468	0.4727199714
469	0.4726212309
470	0.4725110919
471	0.4722244766
472	0.4721531548
473	0.472122588
474	0.4720683628
475	0.4719504138
476	0.4717408854
477	0.4716350384
478	0.47146031
479	0.4712817547
480	0.4712071803
481	0.4710925131
482	0.4710008563
483	0.4708960756
484	0.4706966424
485	0.4706805781
486	0.4705878727
487	0.4704734836
488	0.4703278458
489	0.4702178604
490	0.4701498227
491	0.4701368656
492	0.4699430826
493	0.469794901
494	0.4696696907
495	0.4694669656
496	0.4693464267
497	0.4691917876
498	0.4690654959
499	0.46897813
500	0.4687900584
501	0.4686708649
502	0.4684728782
503	0.4683667297
504	0.4682191708
505	0.4681251669
506	0.4679811505
507	0.4679615118
508	0.467888928
509	0.4677304396
510	0.4675953487
511	0.4674295797
512	0.4672392199
513	0.4671653867
514	0.4671530341
515	0.4670498235
516	0.4668267646
517	0.4666466546
518	0.4665594366
519	0.4664855646
520	0.4663343747
521	0.4662081879
522	0.4661479669
523	0.4660528031
524	0.4659415925
525	0.4658043525
526	0.4656977589
527	0.4656133011
528	0.465601635
529	0.4655034032
530	0.465361513
531	0.4652341584
532	0.4651361111
533	0.4649933531
534	0.4648781379
535	0.4647283587
536	0.4646216506
537	0.4644636353
538	0.4644131366
539	0.4642904103
540	0.4641369214
541	0.4639879652
542	0.4639067754
543	0.463752975
544	0.4635726722
545	0.4634550893
546	0.4633489471
547	0.4631844689
548	0.4630965411
549	0.4630304026
550	0.4629109444
551	0.4628480186
552	0.4627622292
553	0.4625603102
554	0.462437763
555	0.4622655619
556	0.4621539488
557	0.4620612701
558	0.4619171785
559	0.461728069
560	0.4616341599
561	0.4614961186
562	0.4614002406
563	0.4613487239
564	0.4612546376
565	0.461099061
566	0.460987951
567	0.4608476785
568	0.4606972724
569	0.4606074779
570	0.4604876612
571	0.4604767119
572	0.4602413585
573	0.4601049809
574	0.459987379
575	0.4598418442
576	0.4598306707
577	0.4597312515
578	0.4596201065
579	0.4595438296
580	0.4594379965
581	0.4592866422
582	0.4592039303
583	0.4590430084
584	0.4590063477
585	0.4589031999
586	0.4587207952
