iter	Passed	Remaining
0	91	90987
1	122	61220
2	150	49925
3	178	44471
4	209	41770
5	232	38598
6	268	38123
7	304	37717
8	330	36430
9	364	36050
10	402	36203
11	431	35506
12	465	35320
13	490	34520
14	522	34294
15	543	33420
16	576	33316
17	613	33442
18	650	33604
19	674	33059
20	709	33089
21	740	32909
22	766	32579
23	796	32372
24	824	32145
25	841	31540
26	873	31490
27	898	31179
28	938	31438
29	966	31245
30	981	30682
31	1018	30801
32	1043	30568
33	1065	30277
34	1095	30209
35	1125	30149
36	1148	29892
37	1172	29683
38	1201	29595
39	1232	29586
40	1259	29458
41	1291	29463
42	1314	29262
43	1338	29086
44	1361	28886
45	1390	28844
46	1423	28855
47	1450	28764
48	1478	28696
49	1505	28605
50	1531	28497
51	1557	28397
52	1588	28386
53	1621	28413
54	1649	28342
55	1688	28468
56	1717	28418
57	1746	28367
58	1784	28468
59	1821	28535
60	1852	28521
61	1876	28387
62	1925	28642
63	1950	28523
64	1983	28537
65	2014	28502
66	2046	28498
67	2079	28497
68	2110	28481
69	2130	28301
70	2144	28060
71	2167	27936
72	2190	27811
73	2221	27794
74	2250	27757
75	2297	27937
76	2328	27909
77	2349	27767
78	2390	27865
79	2440	28066
80	2464	27957
81	2496	27948
82	2526	27916
83	2558	27900
84	2576	27740
85	2612	27760
86	2627	27569
87	2662	27592
88	2708	27725
89	2739	27699
90	2763	27601
91	2794	27577
92	2826	27563
93	2854	27516
94	2868	27328
95	2904	27350
96	2922	27205
97	2940	27068
98	2976	27089
99	2994	26946
100	3026	26941
101	3059	26937
102	3104	27037
103	3126	26935
104	3155	26897
105	3179	26818
106	3209	26789
107	3236	26729
108	3274	26764
109	3302	26720
110	3331	26680
111	3367	26699
112	3404	26725
113	3429	26652
114	3451	26562
115	3469	26440
116	3485	26307
117	3512	26252
118	3543	26231
119	3565	26144
120	3591	26091
121	3608	25969
122	3639	25949
123	3658	25846
124	3676	25732
125	3700	25670
126	3715	25541
127	3756	25592
128	3774	25486
129	3795	25398
130	3832	25421
131	3863	25403
132	3892	25376
133	3924	25362
134	3941	25255
135	3969	25220
136	3994	25163
137	4016	25085
138	4043	25045
139	4067	24988
140	4086	24893
141	4104	24801
142	4125	24726
143	4150	24671
144	4181	24654
145	4203	24586
146	4230	24548
147	4251	24477
148	4274	24415
149	4300	24368
150	4322	24303
151	4354	24295
152	4382	24263
153	4412	24240
154	4447	24248
155	4489	24288
156	4513	24235
157	4551	24257
158	4577	24213
159	4597	24134
160	4622	24090
161	4649	24053
162	4680	24032
163	4700	23962
164	4718	23877
165	4740	23814
166	4774	23815
167	4796	23753
168	4829	23746
169	4844	23654
170	4862	23571
171	4885	23517
172	4923	23535
173	4949	23494
174	4982	23489
175	5005	23434
176	5032	23398
177	5062	23376
178	5095	23371
179	5121	23331
180	5140	23259
181	5155	23172
182	5183	23142
183	5216	23132
184	5242	23094
185	5257	23009
186	5279	22952
187	5301	22898
188	5335	22892
189	5370	22893
190	5389	22827
191	5414	22784
192	5437	22734
193	5468	22720
194	5501	22712
195	5541	22731
196	5564	22681
197	5599	22682
198	5620	22623
199	5652	22611
200	5678	22571
201	5697	22507
202	5724	22476
203	5751	22441
204	5780	22418
205	5816	22417
206	5844	22390
207	5876	22374
208	5908	22360
209	5927	22297
210	5967	22313
211	5980	22230
212	6008	22200
213	6028	22143
214	6053	22100
215	6077	22059
216	6094	21990
217	6124	21970
218	6148	21927
219	6168	21869
220	6183	21795
221	6204	21745
222	6228	21702
223	6258	21682
224	6270	21598
225	6298	21570
226	6320	21523
227	6346	21488
228	6369	21445
229	6394	21407
230	6418	21368
231	6443	21329
232	6473	21310
233	6502	21285
234	6528	21252
235	6559	21234
236	6578	21177
237	6595	21115
238	6621	21083
239	6643	21037
240	6663	20985
241	6692	20963
242	6711	20908
243	6729	20849
244	6743	20782
245	6762	20726
246	6794	20714
247	6816	20669
248	6841	20635
249	6863	20590
250	6893	20571
251	6916	20529
252	6936	20479
253	6953	20423
254	6987	20414
255	7004	20355
256	7033	20334
257	7057	20297
258	7077	20249
259	7103	20218
260	7126	20177
261	7143	20122
262	7164	20078
263	7184	20028
264	7213	20006
265	7230	19952
266	7251	19907
267	7276	19874
268	7294	19823
269	7315	19779
270	7341	19748
271	7365	19713
272	7384	19664
273	7403	19616
274	7429	19586
275	7461	19573
276	7479	19523
277	7505	19493
278	7527	19453
279	7551	19417
280	7580	19395
281	7603	19359
282	7626	19323
283	7654	19298
284	7676	19258
285	7715	19262
286	7737	19222
287	7767	19203
288	7788	19161
289	7819	19144
290	7840	19101
291	7864	19068
292	7884	19025
293	7905	18984
294	7931	18953
295	7959	18930
296	7982	18893
297	7998	18841
298	8021	18807
299	8044	18769
300	8061	18720
301	8081	18679
302	8100	18634
303	8125	18603
304	8153	18578
305	8177	18545
306	8195	18499
307	8220	18469
308	8245	18438
309	8272	18412
310	8299	18388
311	8322	18352
312	8346	18319
313	8368	18283
314	8396	18258
315	8422	18230
316	8437	18179
317	8459	18142
318	8484	18113
319	8512	18088
320	8540	18064
321	8558	18020
322	8580	17984
323	8600	17944
324	8629	17922
325	8647	17878
326	8667	17839
327	8696	17816
328	8717	17779
329	8735	17734
330	8765	17716
331	8782	17670
332	8810	17646
333	8834	17615
334	8858	17584
335	8885	17558
336	8908	17525
337	8929	17488
338	8956	17464
339	8982	17437
340	9007	17408
341	9026	17365
342	9055	17344
343	9071	17298
344	9090	17259
345	9112	17225
346	9141	17202
347	9165	17172
348	9185	17134
349	9207	17099
350	9232	17071
351	9273	17071
352	9296	17039
353	9322	17011
354	9358	17003
355	9381	16970
356	9409	16946
357	9434	16918
358	9466	16902
359	9494	16878
360	9523	16857
361	9548	16827
362	9576	16804
363	9593	16762
364	9622	16741
365	9649	16714
366	9673	16685
367	9702	16662
368	9721	16624
369	9749	16600
370	9768	16561
371	9787	16523
372	9816	16500
373	9843	16475
374	9856	16427
375	9883	16402
376	9915	16386
377	9943	16362
378	9971	16339
379	9997	16311
380	10019	16277
381	10042	16246
382	10064	16212
383	10086	16179
384	10109	16148
385	10131	16115
386	10162	16097
387	10180	16057
388	10202	16024
389	10221	15986
390	10249	15964
391	10277	15940
392	10303	15913
393	10324	15879
394	10340	15838
395	10362	15804
396	10386	15776
397	10406	15740
398	10434	15717
399	10463	15694
400	10488	15667
401	10516	15644
402	10545	15622
403	10569	15592
404	10595	15565
405	10618	15535
406	10634	15494
407	10664	15473
408	10689	15446
409	10714	15419
410	10736	15386
411	10755	15350
412	10784	15327
413	10798	15284
414	10828	15264
415	10851	15233
416	10877	15207
417	10900	15177
418	10924	15147
419	10946	15115
420	10970	15088
421	11001	15068
422	11026	15040
423	11044	15003
424	11071	14979
425	11096	14951
426	11120	14922
427	11143	14892
428	11171	14869
429	11193	14837
430	11229	14824
431	11243	14783
432	11265	14751
433	11284	14716
434	11305	14683
435	11332	14659
436	11355	14629
437	11385	14609
438	11406	14576
439	11430	14548
440	11455	14521
441	11477	14489
442	11504	14464
443	11530	14439
444	11554	14410
445	11579	14383
446	11599	14350
447	11618	14315
448	11639	14283
449	11659	14249
450	11683	14221
451	11718	14207
452	11736	14171
453	11759	14142
454	11779	14109
455	11803	14081
456	11828	14053
457	11854	14028
458	11880	14002
459	11902	13972
460	11932	13951
461	11957	13924
462	11984	13899
463	12012	13876
464	12032	13844
465	12058	13818
466	12078	13785
467	12099	13754
468	12119	13722
469	12143	13693
470	12165	13663
471	12197	13645
472	12215	13610
473	12234	13576
474	12257	13547
475	12279	13517
476	12304	13491
